index	name	color
1	ctx-rh-lateralorbitofrontal_1	#210d01
2	ctx-rh-lateralorbitofrontal_2	#7bfc1e
3	ctx-rh-lateralorbitofrontal_3	#f51ce6
4	ctx-rh-lateralorbitofrontal_4	#d02937
5	ctx-rh-parsorbitalis_1	#66b084
6	ctx-rh-frontalpole_1	#032e6e
7	ctx-rh-medialorbitofrontal_1	#0e0eb4
8	ctx-rh-medialorbitofrontal_2	#8a9d5d
9	ctx-rh-medialorbitofrontal_3	#7b4227
10	ctx-rh-parstriangularis_1	#f68224
11	ctx-rh-parstriangularis_2	#d62939
12	ctx-rh-parsopercularis_1	#d335b2
13	ctx-rh-parsopercularis_2	#a86010
14	ctx-rh-rostralmiddlefrontal_1	#202002
15	ctx-rh-rostralmiddlefrontal_2	#4a2365
16	ctx-rh-rostralmiddlefrontal_3	#2d91d1
17	ctx-rh-rostralmiddlefrontal_4	#4c6acd
18	ctx-rh-rostralmiddlefrontal_5	#cd54c3
19	ctx-rh-rostralmiddlefrontal_6	#472e9f
20	ctx-rh-superiorfrontal_1	#e17264
21	ctx-rh-superiorfrontal_2	#f941f6
22	ctx-rh-superiorfrontal_3	#4e7866
23	ctx-rh-superiorfrontal_4	#323fef
24	ctx-rh-superiorfrontal_5	#35a14e
25	ctx-rh-superiorfrontal_6	#7035dc
26	ctx-rh-superiorfrontal_7	#141c09
27	ctx-rh-superiorfrontal_8	#5a40f3
28	ctx-rh-caudalmiddlefrontal_12	#f6b5cc
30	ctx-rh-caudalmiddlefrontal_3	#280d39
31	ctx-rh-precentral_1	#bfd8bc
32	ctx-rh-precentral_2	#2aa8a5
33	ctx-rh-precentral_3	#bf72b8
34	ctx-rh-precentral_4	#fe7ede
35	ctx-rh-precentral_5	#2fbab2
36	ctx-rh-precentral_6	#f65840
37	ctx-rh-paracentral_1	#ccd18e
38	ctx-rh-paracentral_2	#b120c9
39	ctx-rh-paracentral_3	#c7e330
40	ctx-rh-rostralanteriorcingulate_1	#8febc1
41	ctx-rh-caudalanteriorcingulate_1	#7d1e45
42	ctx-rh-posteriorcingulate_1	#cc5743
43	ctx-rh-posteriorcingulate_2	#f45655
