index	name	color
127	amygd-rh-anterior-amygdaloid-area-aaa	#e7f41d
128	amygd-rh-paralaminar-nucleus	#1911f9
129	hipp-rh-hippocampus-head	#9dbb83
130	hipp-rh-hippocampus-body	#49f2ef
131	hipp-rh-hippocampus-tail	#8583b3
132	hypo-rh-anterior-inferior	#09af7a
133	hypo-rh-anterior-superior	#a93305
134	hypo-rh-posterior	#e59378
135	hypo-rh-tubular-inferior	#79274b
136	hypo-rh-tubular-superior	#099706
137	cer-rh-i_iv	#cda458
138	cer-rh-v	#3a1510
139	cer-rh-vi	#e5edc7
140	cer-rh-crus_i	#a6a56d
141	cer-rh-crus_ii	#02280e
142	cer-rh-viib	#c96de5
143	cer-rh-viiia	#9f3177
144	cer-rh-viiib	#b76618
145	cer-rh-ix	#41d249
146	cer-rh-x	#f497f7
147	cer-rh-dentate	#60053e
148	cer-rh-interposed	#f6038b
149	ctx-lh-lateralorbitofrontal_1 	#79189b
150	ctx-lh-lateralorbitofrontal_2 	#a81fcd
151	ctx-lh-lateralorbitofrontal_3 	#85a39c
152	ctx-lh-lateralorbitofrontal_4 	#4bf5e3
153	ctx-lh-parsorbitalis_1 	#68f560
154	ctx-lh-frontalpole_1 	#ec2e2b
155	ctx-lh-medialorbitofrontal_1 	#bec4cd
156	ctx-lh-medialorbitofrontal_2 	#b82422
157	ctx-lh-medialorbitofrontal_3 	#d022df
158	ctx-lh-parstriangularis_1 	#4e893f
159	ctx-lh-parstriangularis_2 	#bb1dc2
160	ctx-lh-parsopercularis_1 	#d4bf1c
161	ctx-lh-parsopercularis_2 	#3a494b
162	ctx-lh-rostralmiddlefrontal_1 	#1ea289
163	ctx-lh-rostralmiddlefrontal_2 	#aea5c6
164	ctx-lh-rostralmiddlefrontal_3 	#c322a4
165	ctx-lh-rostralmiddlefrontal_4 	#1d2f27
166	ctx-lh-rostralmiddlefrontal_5 	#81de25
167	ctx-lh-rostralmiddlefrontal_6 	#097b79
168	ctx-lh-superiorfrontal_1 	#270a4f
169	ctx-lh-superiorfrontal_2 	#d721ff
170	ctx-lh-superiorfrontal_3 	#028975
171	ctx-lh-superiorfrontal_4 	#6f22e6
172	ctx-lh-superiorfrontal_5 	#992824
173	ctx-lh-superiorfrontal_6 	#2df193
174	ctx-lh-superiorfrontal_7 	#b88f9f
175	ctx-lh-superiorfrontal_8 	#39c2cd
176	ctx-lh-caudalmiddlefrontal_1 	#b0b396
177	ctx-lh-caudalmiddlefrontal_2 	#ead2f0
178	ctx-lh-caudalmiddlefrontal_3 	#ee8736
179	ctx-lh-precentral_1 	#9c1caf
180	ctx-lh-precentral_2 	#c412c9
181	ctx-lh-precentral_3 	#e3c619
182	ctx-lh-precentral_4 	#a67e67
183	ctx-lh-precentral_5 	#2595d8
184	ctx-lh-precentral_6 	#4600be
185	ctx-lh-paracentral_1 	#28a916
186	ctx-lh-paracentral_2 	#252c41
187	ctx-lh-paracentral_3 	#0bbdb7
188	ctx-lh-rostralanteriorcingulate_1 	#4042d9
189	ctx-lh-caudalanteriorcingulate_1 	#cfec4c
190	ctx-lh-posteriorcingulate_1 	#ead5d5
191	ctx-lh-posteriorcingulate_2 	#b53ee5
192	ctx-lh-isthmuscingulate_1 	#11c7c3
193	ctx-lh-postcentral_1 	#8f1f40
194	ctx-lh-postcentral_2 	#468e13
195	ctx-lh-postcentral_3 	#ca3f4f
196	ctx-lh-postcentral_4 	#57ff39
197	ctx-lh-postcentral_5 	#465b90
198	ctx-lh-supramarginal_1 	#ff3b2e
199	ctx-lh-supramarginal_2 	#5935f9
200	ctx-lh-supramarginal_3 	#5d3b4f
201	ctx-lh-supramarginal_4 	#e9a239
202	ctx-lh-superiorparietal_1 	#db7637
203	ctx-lh-superiorparietal_2 	#9153f6
204	ctx-lh-superiorparietal_3 	#bee955
205	ctx-lh-superiorparietal_4 	#ec3d68
206	ctx-lh-superiorparietal_5 	#53880f
207	ctx-lh-superiorparietal_6 	#ee10a0
208	ctx-lh-superiorparietal_7 	#26e827
209	ctx-lh-inferiorparietal_1 	#1f60da
210	ctx-lh-inferiorparietal_2 	#d44a76
211	ctx-lh-inferiorparietal_3 	#ea1293
212	ctx-lh-inferiorparietal_4 	#78aea1
213	ctx-lh-inferiorparietal_5 	#f77d40
214	ctx-lh-inferiorparietal_6 	#6174e9
215	ctx-lh-precuneus_1 	#2764ac
216	ctx-lh-precuneus_2 	#c4a9b4
217	ctx-lh-precuneus_3 	#dda84c
218	ctx-lh-precuneus_4 	#121cc9
219	ctx-lh-precuneus_5 	#a28bdd
